id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at,date,number_of_reviews,url,reviews_per_day
18767303,Imperio Restaurant,13.0242075696,77.6431576163,18767303,zomato_imperio_restaurant,Imperio Restaurant,77900,4.0,,zomato,restaurant,food,N_A,1688639100,1534962600.0,10124,,21.89846853617827
ChIJUW6QpyAXrjsR0lXXPOy8ao0,Empire Restaurant | Kammanahalli,13.014654159545898,77.63558197021484,0x3bae1720a7906e51:0x8d6abcec3cd755d2,hotelempire,Hotel Empire,24943,3.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJUW6QpyAXrjsR0lXXPOy8ao0,gmaps_v2,restaurant,food,N_A,1699615207,1553975495.0,25636,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400123203055185!2y10190164829698217426!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,14.79730473512609
ChIJaYEtnCcXrjsRJsGRFOWVyhA,Al Amanah Cafe & Restaurant,13.015530586242676,77.63951110839844,0x3bae17279c2d8169:0x10ca95e51491c126,N_A,N_A,21079,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJaYEtnCcXrjsRJsGRFOWVyhA,gmaps_v2,restaurant,food,N_A,1699615207,1532496002.0,21583,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400153076793705!2y1209944261027545382!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,10.897763665163438
ChIJvT_Kso4XrjsRoafJCvzNIfo,Manyavar & Mohey,12.981647491455078,77.61044311523438,0x3bae178eb2ca3fbd:0xfa21cdfc0ac9a7a1,manyavar,Manyavar,162,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJvT_Kso4XrjsRoafJCvzNIfo,gmaps_v2,clothing_store,retail,N_A,1687847039,1686139361.0,3434,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400595837796285!2y18023913666109876129!2m2!2i10!3sCAESB0VnTUk1aG8=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,8.196392996806189
ChIJI268evAXrjsRqRt_Nj9O7Hk,DESI MASALA,13.017962455749512,77.65241241455078,0x3bae17f07abc6e23:0x79ec4e3f367f1ba9,N_A,N_A,11909,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJI268evAXrjsRqRt_Nj9O7Hk,gmaps_v2,restaurant,food,N_A,1699615207,1569823475.0,12552,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401015804161571!2y8785483006497201065!2m2!2i10!3sCAESB0VnTUlobUk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,7.927605126650132
50475,Empire Restaurant,13.0145617007,77.635551542,50475,zomato_empire_restaurant,Empire Restaurant,65099,4.1,,zomato,restaurant,food,N_A,1688639100,1325010600.0,14778,,7.733928446202649
ChIJe3QQ-_AWrjsRQOYybXZ63ME,Empire Restaurant - Mosque Road,12.99994659423828,77.61577606201172,0x3bae16f0fb10747b:0xc1dc7a766d32e640,hotelempire,Hotel Empire,16967,4.0,https://www.google.com/maps/place/?q=place_id:ChIJe3QQ-_AWrjsRQOYybXZ63ME,gmaps_v2,restaurant,food,N_A,1699615207,1497366310.0,17536,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399918445524091!2y13969174793253217856!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,7.248241259876933
19060239,Sri Udupi Food Hub,13.0148854243,77.6333665475,19060239,zomato_sri_udupi_food_hub,Sri Udupi Food Hub,18900,3.7,,zomato,restaurant,food,N_A,1688639100,1556908200.0,3013,,6.1980901975163
ChIJRblJ-fAWrjsRSDjS3acM9pY,Karama Restaurant,12.999632835388184,77.61616516113281,0x3bae16f0f949b945:0x96f60ca7ddd23848,hotelempire,Hotel Empire,16172,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJRblJ-fAWrjsRSDjS3acM9pY,gmaps_v2,restaurant,food,N_A,1699615207,1472524035.0,17136,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399918415722821!2y10877895865080625224!2m2!2i10!3sCAESCEVnUUlyb1VC!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,6.152862692522455
ChIJAzNQcOsXrjsRUfyUvQNHMIA,Wakefit Furniture Store - Banaswadi,13.022170066833496,77.64933013916016,0x3bae17eb70503303:0x80304703bd94fc51,wakefit,Wakefit,2816,4.599999904632568,https://www.google.com/maps/place/?q=place_id:ChIJAzNQcOsXrjsRUfyUvQNHMIA,gmaps_v2,home_decor,retail,mattress_store,1695212099,1653195053.0,2972,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400994154459907!2y9236960917128019025!2m2!2i10!3sCAESB0VnTUltaGM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,5.790564143895313
ChIJL7KnJfEXrjsRLvn-BaXCj30,"AB's - Absolute Barbecues | Kalyan Nagar, Bangalore",13.026633262634276,77.63377380371094,0x3bae17f125a7b22f:0x7d8fc2a505fef92e,absolutebarbecues,Absolute Barbecues,11189,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJL7KnJfEXrjsRLvn-BaXCj30,gmaps_v2,restaurant,food,N_A,1699615207,1527407302.0,11705,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401018671706671!2y9047664190436604206!2m2!2i10!3sCAESB0VnTUl0RnM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,5.613735327655255
ChIJR_tvXSQXrjsR5i2uy6e-YuQ,Zamindar Restaurant,13.022375106811523,77.63797760009766,0x3bae17245d6ffb47:0xe462bea7cbae2de6,N_A,N_A,11412,4.099999904632568,https://www.google.com/maps/place/?q=place_id:ChIJR_tvXSQXrjsR5i2uy6e-YuQ,gmaps_v2,restaurant,food,N_A,1699615207,1521391887.0,11909,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400139139283783!2y16456925616251219430!2m2!2i10!3sCAESB0VnTUlfRnc=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,5.532366920333433
19544801,Meghana Foods,13.0247243311,77.6415747777,19544801,zomato_meghana_foods,Meghana Foods,9617,4.3,,zomato,restaurant,food,N_A,1688639100,1605205800.0,4128,,4.9794794164919765
ChIJm3-PMJgXrjsRdKm5Wmp5TCg,Imperio Restaurant kalyan nagar,13.023956298828123,77.64307403564453,0x3bae1798308f7f9b:0x284c796a5ab9a974,imperiorestaurant,Imperio Restaurant Bangalore,9448,4.0,https://www.google.com/maps/place/?q=place_id:ChIJm3-PMJgXrjsRdKm5Wmp5TCg,gmaps_v2,restaurant,food,N_A,1699615207,1534441693.0,9798,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400636602580891!2y2903829357442738548!2m2!2i10!3sCAESB0VnTUl2a3c=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.942119231052988
ChIJaTv6sCIXrjsRKOrhaJKo_e0,Chulha Chauki da Dhaba | Kalyan Nagar Restaurant,13.024930953979492,77.63162231445312,0x3bae1722b0fa3b69:0xedfda89268e1ea28,chulhachaukidadhaba,Chulha Chauki Da Dhaba,10749,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJaTv6sCIXrjsRKOrhaJKo_e0,gmaps_v2,restaurant,food,N_A,1699615207,1502302544.0,10898,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400131950918505!2y17149048302875044392!2m2!2i10!3sCAESB0VnTUlpbFU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.706811949519936
18455611,Sultan - Palace Darbar Restaurant,13.0191186194,77.6187049225,18455611,N_A,N_A,14500,3.4,,zomato,restaurant,food,N_A,1688639100,1554748200.0,4195,,4.678435950464147
ChIJ_9ne6mUXrjsRogLa16H1gEo,Xero Degrees,13.023548126220703,77.63951873779297,0x3bae1765eaded9ff:0x4a80f5a1d7da02a2,xerodegrees,Xero Degrees,425,4.599999904632568,https://www.google.com/maps/place/?q=place_id:ChIJ_9ne6mUXrjsRogLa16H1gEo,gmaps_v2,restaurant,food,N_A,1687847039,1679650397.0,1021,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400420685011455!2y5368560831285559970!2m2!2i10!3sCAESB0VnTUlfQWM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.479883347351269
ChIJkfY_cp0XrjsRYnAces_Z9mo,Madurai Pandi Mess - MPM®,13.015096664428713,77.6324234008789,0x3bae179d723ff691:0x6af6d9cf7a1c7062,N_A,N_A,4552,4.599999904632568,https://www.google.com/maps/place/?q=place_id:ChIJkfY_cp0XrjsRYnAces_Z9mo,gmaps_v2,restaurant,food,N_A,1699615207,1610155129.0,5080,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400659179501201!2y7707587297421324386!2m2!2i10!3sCAESB0VnTUl6aWM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.396293953600175
19265744,Punjabi Nawabi,13.0217452,77.6478711,19265744,zomato_punjabi_nawabi,Punjabi Nawabi,11500,3.5,,zomato,restaurant,food,N_A,1688639100,1574361000.0,2106,,4.3472896381721435
ChIJ0RKwtGsXrjsRi0THHHnEpyI,Joyalukkas Jewellery,13.0255765914917,77.63690948486328,0x3bae176bb4b012d1:0x22a7c4791cc7448b,joyalukkas,Joyalukkas,4272,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJ0RKwtGsXrjsRi0THHHnEpyI,gmaps_v2,jewelry_store,retail,N_A,1695212099,1610209867.0,4976,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400445545779921!2y2497180542853137547!2m2!2i10!3sCAESB0VnTUk2aVk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.342248330608542
18783761,Cafe 99 Snacks Parlour,13.0227167293,77.6479014382,18783761,N_A,N_A,14800,3.7,,zomato,restaurant,food,N_A,1688639100,1537381800.0,1272,,4.226969541304784
ChIJy9eLEhYXrjsRxD3y_Ms1i7w,Gourmet by Biggies Burger: Kalyan Nagar,13.021652221679688,77.6400146484375,0x3bae1716128bd7cb:0xbc8b35cbfcf23dc4,biggiesburger,Biggies Burger,1680,4.599999904632568,https://www.google.com/maps/place/?q=place_id:ChIJy9eLEhYXrjsRxD3y_Ms1i7w,gmaps_v2,restaurant,food,N_A,1699615207,1665146538.0,1939,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400077753276363!2y13586011851131600324!2m2!2i10!3sCAESB0VnTUlpZzg=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.211128662960557
ChIJF8cPHSIXrjsRCwcAXHWBYcA,Truffles,13.022486686706545,77.63978576660156,0x3bae17221d0fc717:0xc06181755c00070b,truffles,Truffles,7617,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJF8cPHSIXrjsRCwcAXHWBYcA,gmaps_v2,restaurant,food,N_A,1699615207,1542710656.0,7873,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400129469302551!2y13862503469077759755!2m2!2i10!3sCAESB0VnTUl2ajA=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.194325759231802
ChIJfSf0T_MWrjsRyFJUM6cpINw,Thom's Bakery & Supermarket,12.991537094116213,77.61415100097656,0x3bae16f34ff4277d:0xdc2029a7335452c8,N_A,N_A,13510,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJfSf0T_MWrjsRyFJUM6cpINw,gmaps_v2,supermarket,retail,N_A,1699615207,1419073777.0,13888,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399928459667325!2y15861723685696328392!2m2!2i10!3sCAESB0VnTUl1R3c=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.16075443830168
ChIJ_wnAQS8XrjsRqBnFQ-sKrnk,MTR,13.021740913391112,77.64344787597656,0x3bae172f41c009ff:0x79ae0aeb43c519a8,mavallitiffinrooms,Mavalli Tiffin Rooms,9584,4.099999904632568,https://www.google.com/maps/place/?q=place_id:ChIJ_wnAQS8XrjsRqBnFQ-sKrnk,gmaps_v2,restaurant,food,N_A,1699615207,1497452878.0,9786,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400185919408639!2y8767957530107517352!2m2!2i10!3sCAESB0VnTUl0RXc=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.09600346462174
ChIJsxorwCUXrjsRaTXkIXLIjII,Barbeque Nation,13.02151870727539,77.64044189453125,0x3bae1725c02b1ab3:0x828cc87221e43569,barbequenation,Barbeque Nation,9923,4.099999904632568,https://www.google.com/maps/place/?q=place_id:ChIJsxorwCUXrjsRaTXkIXLIjII,gmaps_v2,restaurant,food,N_A,1699615207,1490102204.0,10071,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400145090681523!2y9407114114190554473!2m2!2i10!3sCAESB0VnTUkxazQ=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.092095419967801
ChIJ56HswiIXrjsR1NeOY8Vyae4,The Filter Coffee,13.017751693725586,77.64289093017578,0x3bae1722c2eca1e7:0xee6972c5638ed7d4,N_A,N_A,12085,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJ56HswiIXrjsR1NeOY8Vyae4,gmaps_v2,restaurant,food,N_A,1699615207,1439433422.0,12421,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400132252017127!2y17179388445685897172!2m2!2i10!3sCAESB0VnTUloR0U=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.013132587279313
ChIJKxFCovwXrjsRblHlsCOjseE,BAMBOO RESTAURANT,13.02292537689209,77.63949584960938,0x3bae17fca242112b:0xe1b1a323b0e5516e,N_A,N_A,7029,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJKxFCovwXrjsRblHlsCOjseE,gmaps_v2,restaurant,food,N_A,1699615207,1547212059.0,7254,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401068006838571!2y16262959103098573166!2m2!2i10!3sCAESB0VnTUkwamc=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.9848625698991467
ChIJ58UIfaoXrjsRgoxq5_eIm9o,Plunge - By Vapor,13.024700164794922,77.6399917602539,0x3bae17aa7d08c5e7:0xda9b88f7e76a8c82,N_A,N_A,102,5.0,https://www.google.com/maps/place/?q=place_id:ChIJ58UIfaoXrjsRgoxq5_eIm9o,gmaps_v2,restaurant,food,N_A,1699615207,1697395175.0,209,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400715195008487!2y15752334719979261058!2m2!2i10!3sCAESB0VnTUl5QUU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.9696725092250924
ChIJra2BHaEXrjsRAVAUlIRN3gc,SRI VENKATESWARA GARMENTS UNIT 6,13.017935752868652,77.63628387451172,0x3bae17a11d81adad:0x7de4d8494145001,premtextiles,Prem Textiles,4880,4.099999904632568,https://www.google.com/maps/place/?q=place_id:ChIJra2BHaEXrjsRAVAUlIRN3gc,gmaps_v2,clothing_store,retail,N_A,1687847039,1575357366.0,5489,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400674937613741!2y566975834910642177!2m2!2i10!3sCAESB0VnTUk2Q28=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.7481840666387214
ChIJEQ6urNkXrjsRSrRB3WEZu2c,"Westside - New Commercial Street, Bangalore",12.982744216918944,77.61082458496094,0x3bae17d9acae0e11:0x67bb1961dd41b44a,westside,Westside,14067,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJEQ6urNkXrjsRSrRB3WEZu2c,gmaps_v2,clothing_store,retail,N_A,1695212099,1365690741.0,14512,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400917857832465!2y7474595914666062922!2m2!2i10!3sCAESB0VnTUlybkU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.6883460525189995
ChIJ_SlDsYkWrjsRDVSfSoeUkDo,Texs Mart Unit 1,12.982351303100586,77.60980987548828,0x3bae1689b14329fd:0x3a9094874a9f540d,premtextiles,Prem Textiles,9128,4.0,https://www.google.com/maps/place/?q=place_id:ChIJ_SlDsYkWrjsRDVSfSoeUkDo,gmaps_v2,clothing_store,retail,N_A,1699615207,1480733428.0,9218,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399474825701885!2y4220036159639606285!2m2!2i10!3sCAESB0VnTUkta2M=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.603128609439893
19080491,Sharief Bhai,13.0233262633,77.6396821439,19080491,zomato_sharief_bhai,Sharief Bhai,10300,4.1,,zomato,restaurant,food,N_A,1688639100,1558117800.0,3407,,3.4090987448025722
ChIJPexQnuwXrjsRqI60sUON5UQ,NATRAJ CHOLE BHATURE,12.982147216796877,77.63789367675781,0x3bae17ec9e50ec3d:0x44e58d43b1b48ea8,N_A,N_A,3743,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJPexQnuwXrjsRqI60sUON5UQ,gmaps_v2,restaurant,food,N_A,1699615207,1604475816.0,4018,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400999221226557!2y4964529486129565352!2m2!2i10!3sCAESB0VnTUlxaDg=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.3991724836666233
ChIJ3QJrWRkXrjsRz7MoY0stjT8,Olive Street Food Cafe,13.01559829711914,77.64029693603516,0x3bae1719596b02dd:0x3f8d2d4b6328b3cf,N_A,N_A,3552,4.599999904632568,https://www.google.com/maps/place/?q=place_id:ChIJ3QJrWRkXrjsRz7MoY0stjT8,gmaps_v2,restaurant,food,N_A,1699615207,1608747619.0,5012,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400091827208925!2y4579366197915071439!2m2!2i10!3sCAESB0VnTUlraWM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.3773626741363487
18260069,M.M.A Kabab and Rolls,13.0149331172,77.6496773958,18260069,N_A,N_A,17700,3.6,,zomato,restaurant,food,N_A,1688639100,1461868200.0,3122,,3.371861204413794
ChIJ2V_sJtEXrjsRYjHAVpr3NA8,Apple Premium Reseller - iPlanet,13.023849487304688,77.63690948486328,0x3bae17d126ec5fd9:0xf34f79a56c03162,iplanet,iPlanet,3590,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJ2V_sJtEXrjsRYjHAVpr3NA8,gmaps_v2,electronic_store,retail,N_A,1695212099,1601994383.0,4139,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400881254031321!2y1095772851610333538!2m2!2i10!3sCAESB0VnTUlvaUE=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.327436171038561
ChIJpbT_nSoXrjsRd_3Qu--Z7p8,Glens BakeHouse Kalyan Nagar,13.02254867553711,77.64344787597656,0x3bae172a9dffb4a5:0x9fee99efbbd0fd77,N_A,N_A,2258,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJpbT_nSoXrjsRd_3Qu--Z7p8,gmaps_v2,coffee_shop,food,N_A,1687847039,1627458368.0,2732,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400165992248485!2y11524317751414947191!2m2!2i10!3sCAESB0VnTUlxaFU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.2305927050456202
ChIJqdr9WpUXrjsRoZN5weCo2Z8,Al Zara Mandi Arabian Restaurant,13.000865936279297,77.61421966552734,0x3bae17955afddaa9:0x9fd9a8e0c17993a1,N_A,N_A,4477,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJqdr9WpUXrjsRoZN5weCo2Z8,gmaps_v2,restaurant,food,N_A,1699615207,1578265719.0,4886,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400624429554345!2y11518423205248865185!2m2!2i10!3sCAESB0VnTUlrQ1k=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.187593177154567
ChIJizaOiCgXrjsRX7RNYONZT1M,Kapoor's Cafe HRBR Branch,13.01780128479004,77.64292907714844,0x3bae1728888e368b:0x534f59e3604db45f,N_A,N_A,7162,4.0,https://www.google.com/maps/place/?q=place_id:ChIJizaOiCgXrjsRX7RNYONZT1M,gmaps_v2,restaurant,food,N_A,1699615207,1505033561.0,7276,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400157042554507!2y6003115661416313951!2m2!2i10!3sCAESB0VnTUk1amc=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.1801396109065703
ChIJ4xHQ0YkWrjsR9S6cRi9dhsw,Moh Mith,12.98246955871582,77.60845947265625,0x3bae1689d1d011e3:0xcc865d2f469c2ef5,N_A,N_A,6896,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJ4xHQ0YkWrjsR9S6cRi9dhsw,gmaps_v2,clothing_store,retail,N_A,1687847039,1500054864.0,7008,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399475371807203!2y14737569288246013685!2m2!2i10!3sCAESB0VnTUkyRFk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.172732836179143
ChIJK1RYVPoXrjsR_VO8FYjOl7c,Sharma’s Kulche,13.023961067199709,77.63325500488281,0x3bae17fa5458542b:0xb797ce8815bc53fd,N_A,N_A,376,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJK1RYVPoXrjsR_VO8FYjOl7c,gmaps_v2,restaurant,food,N_A,1699615207,1689344513.0,552,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401058109740075!2y13229269514299659261!2m2!2i10!3sCAESB0VnTUlwZ1E=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.163018974180323
ChIJQbqo9vAWrjsRkJlOSc26fMo,Savoury Family Restaurant,12.99941062927246,77.61585998535156,0x3bae16f0f6a8ba41:0xca7cbacd494e9990,N_A,N_A,13033,4.099999904632568,https://www.google.com/maps/place/?q=place_id:ChIJQbqo9vAWrjsRkJlOSc26fMo,gmaps_v2,restaurant,food,N_A,1699615207,1338906804.0,13183,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399918371617345!2y14590742283634514320!2m2!2i10!3sCAESB0VnTUlfR1k=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.1217770105566407
ChIJa5UUlCgXrjsR50x8hJ92vUo,Srinidhi Veg Food Court,13.018712043762209,77.64331817626953,0x3bae17289414956b:0x4abd769f847c4ce7,N_A,N_A,8178,4.0,https://www.google.com/maps/place/?q=place_id:ChIJa5UUlCgXrjsR50x8hJ92vUo,gmaps_v2,restaurant,food,N_A,1699615207,1473083265.0,8330,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400157235909995!2y5385591156899597543!2m2!2i10!3sCAESB0VnTUlnRUU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.119115095918791
50476,Empire Restaurant,12.9999901052,77.6159288362,50476,zomato_empire_restaurant,Empire Restaurant,25400,4.0,,zomato,restaurant,food,N_A,1688639100,1332268200.0,8175,,3.079039281826883
ChIJozYa81sXrjsRmQJ_o6gWrks,White Garden - Vegetarian Artisan Kitchen,13.023758888244627,77.64317321777344,0x3bae175bf31a36a3:0x4bae16a8a37f0299,N_A,N_A,736,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJozYa81sXrjsRmQJ_o6gWrks,gmaps_v2,restaurant,food,N_A,1699615207,1678552575.0,1117,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400377873446563!2y5453321112345576089!2m2!2i10!3sCAESB0VnTUkxZ2c=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.019109862433147
